Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
126,0.0005071376623376625,0.5071376623376626,507.1376623376625,pulse,1Hz,20250325_201454,Valid
127,0.0005039179487179488,0.5039179487179488,503.91794871794883,pulse,1Hz,20250325_201454,Valid
128,0.0005077568831168833,0.5077568831168833,507.7568831168833,pulse,1Hz,20250325_201454,Valid
129,7.80176623376625e-05,0.0780176623376625,78.0176623376625,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
130,0.0005073600000000002,0.5073600000000003,507.3600000000002,pulse,1Hz,20250325_201454,Valid
131,0.0005151376623376625,0.5151376623376626,515.1376623376625,pulse,1Hz,20250325_201454,Valid
132,0.0005167157894736842,0.5167157894736841,516.7157894736841,pulse,1Hz,20250325_201454,Valid
133,0.00019993766233766244,0.19993766233766244,199.93766233766243,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
134,0.0005160976623376624,0.5160976623376624,516.0976623376624,pulse,1Hz,20250325_201454,Valid
135,0.0005194947368421054,0.5194947368421053,519.4947368421053,pulse,1Hz,20250325_201454,Valid
136,0.0005143168831168833,0.5143168831168834,514.3168831168833,pulse,1Hz,20250325_201454,Valid
137,0.0005119157894736845,0.5119157894736845,511.9157894736845,pulse,1Hz,20250325_201454,Valid
138,0.00016448831168831179,0.1644883116883118,164.4883116883118,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
139,0.0005186736842105263,0.5186736842105263,518.6736842105263,pulse,1Hz,20250325_201454,Valid
140,0.00014229473684210527,0.14229473684210525,142.29473684210527,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
141,0.0004959179487179488,0.4959179487179488,495.91794871794883,pulse,1Hz,20250325_201454,Valid
142,0.00042071688311688335,0.4207168831168833,420.71688311688337,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
143,0.0005139157894736845,0.5139157894736845,513.9157894736845,pulse,1Hz,20250325_201454,Valid
144,0.0005171157894736842,0.5171157894736842,517.1157894736842,pulse,1Hz,20250325_201454,Valid
145,0.0005171157894736842,0.5171157894736842,517.1157894736842,pulse,1Hz,20250325_201454,Valid
146,0.0005192519480519481,0.5192519480519481,519.2519480519481,pulse,1Hz,20250325_201454,Valid
147,0.0001679168831168833,0.1679168831168833,167.9168831168833,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
148,0.0005141347368421055,0.5141347368421055,514.1347368421056,pulse,1Hz,20250325_201454,Valid
149,0.0005166961038961038,0.5166961038961039,516.6961038961039,pulse,1Hz,20250325_201454,Valid
150,0.0005223157894736843,0.5223157894736843,522.3157894736843,pulse,1Hz,20250325_201454,Valid
151,0.00012909473684210538,0.12909473684210537,129.0947368421054,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
152,6.231578947368443e-05,0.06231578947368443,62.315789473684426,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
153,0.0005204512820512821,0.5204512820512821,520.4512820512821,pulse,1Hz,20250325_201454,Valid
154,,,,pulse,1Hz,20250325_201454,Failed
155,0.0004495157894736843,0.44951578947368426,449.51578947368426,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
156,0.0005047168831168832,0.5047168831168832,504.7168831168832,pulse,1Hz,20250325_201454,Valid
157,0.0005036176623376624,0.5036176623376624,503.6176623376624,pulse,1Hz,20250325_201454,Valid
158,0.000504696103896104,0.504696103896104,504.696103896104,pulse,1Hz,20250325_201454,Valid
159,0.0005079157894736844,0.5079157894736844,507.9157894736844,pulse,1Hz,20250325_201454,Valid
160,0.0004974961038961038,0.49749610389610377,497.4961038961038,pulse,1Hz,20250325_201454,Valid
161,0.00032759688311688326,0.3275968831168833,327.59688311688325,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
162,0.00036309610389610405,0.363096103896104,363.09610389610407,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
163,0.00030229610389610387,0.3022961038961039,302.2961038961039,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
164,0.0005031157894736843,0.5031157894736843,503.1157894736843,pulse,1Hz,20250325_201454,Valid
165,0.00022233766233766255,0.22233766233766256,222.33766233766255,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
166,0.0005167179487179487,0.5167179487179487,516.7179487179487,pulse,1Hz,20250325_201454,Valid
