Time,CH1_noise,CH2_noise
-5.3360000000000045e-06,0.005200000000000001,-0.0408
-5.3320000000000025e-06,0.005200000000000001,-0.040400000000000005
-5.3280000000000005e-06,0.005200000000000001,-0.0396
-5.3239999999999985e-06,0.0056,-0.04
-5.320000000000003e-06,0.0048000000000000004,-0.04
-5.316000000000001e-06,0.0044,-0.04
-5.311999999999999e-06,0.0048000000000000004,-0.04
-5.308000000000004e-06,0.0056,-0.04
-5.304000000000002e-06,0.005200000000000001,-0.0392
-5.3e-06,0.0048000000000000004,-0.0388
-5.295999999999998e-06,0.005200000000000001,-0.0388
-5.292000000000003e-06,0.005200000000000001,-0.0392
-5.288000000000001e-06,0.005200000000000001,-0.0388
-5.283999999999999e-06,0.0048000000000000004,-0.0392
-5.280000000000004e-06,0.0048000000000000004,-0.0396
-5.276000000000002e-06,0.005200000000000001,-0.0392
-5.272e-06,0.0048000000000000004,-0.0392
-5.2680000000000044e-06,0.0044,-0.0392
-5.2640000000000025e-06,0.0048000000000000004,-0.0392
-5.2600000000000005e-06,0.0048000000000000004,-0.0396
-5.2559999999999985e-06,0.004,-0.0392
-5.252000000000003e-06,0.0032,-0.0388
-5.248000000000001e-06,0.0024000000000000002,-0.0392
-5.243999999999999e-06,0.0028,-0.0392
-5.240000000000004e-06,0.0032,-0.0396
-5.236000000000002e-06,0.0036000000000000003,-0.04
-5.232e-06,0.004,-0.0396
-5.227999999999998e-06,0.0048000000000000004,-0.0392
-5.224000000000003e-06,0.0044,-0.0388
-5.220000000000001e-06,0.004,-0.038400000000000004
-5.215999999999999e-06,0.004,-0.0388
-5.212000000000004e-06,0.005200000000000001,-0.038
-5.208000000000002e-06,0.0056,-0.038
-5.204e-06,0.005200000000000001,-0.038
-5.200000000000004e-06,0.0048000000000000004,-0.038400000000000004
-5.1960000000000024e-06,0.004,-0.038
-5.1920000000000004e-06,0.004,-0.0376
-5.1879999999999984e-06,0.0032,-0.0368
-5.184000000000003e-06,0.0032,-0.0364
-5.180000000000001e-06,0.0032,-0.036000000000000004
-5.175999999999999e-06,0.0044,-0.0352
-5.172000000000004e-06,0.0048000000000000004,-0.0356
-5.168000000000002e-06,0.0044,-0.0352
-5.164e-06,0.0044,-0.034800000000000005
-5.159999999999998e-06,0.0044,-0.0356
-5.156000000000003e-06,0.0048000000000000004,-0.0352
-5.152000000000001e-06,0.0044,-0.0352
-5.147999999999999e-06,0.005200000000000001,-0.0356
-5.144000000000004e-06,0.005200000000000001,-0.034800000000000005
-5.140000000000002e-06,0.0056,-0.034800000000000005
-5.136e-06,0.0056,-0.0344
-5.132000000000004e-06,0.0056,-0.034
-5.128000000000002e-06,0.006,-0.033600000000000005
-5.124e-06,0.005200000000000001,-0.0332
-5.119999999999998e-06,0.0048000000000000004,-0.0328
-5.116000000000003e-06,0.0048000000000000004,-0.0324
-5.112000000000001e-06,0.0048000000000000004,-0.032
-5.107999999999999e-06,0.005200000000000001,-0.0324
-5.104000000000004e-06,0.005200000000000001,-0.0328
-5.100000000000002e-06,0.0048000000000000004,-0.032
-5.096e-06,0.0056,-0.0324
-5.091999999999998e-06,0.006,-0.0316
-5.088000000000003e-06,0.0056,-0.031200000000000002
-5.084000000000001e-06,0.0056,-0.0316
-5.079999999999999e-06,0.005200000000000001,-0.031200000000000002
-5.076000000000004e-06,0.006,-0.0316
-5.072000000000002e-06,0.0064,-0.0308
-5.068e-06,0.0064,-0.030000000000000002
-5.064000000000004e-06,0.0056,-0.030000000000000002
-5.060000000000002e-06,0.006,-0.0296
-5.056e-06,0.0056,-0.0296
-5.051999999999998e-06,0.005200000000000001,-0.030000000000000002
-5.048000000000003e-06,0.0048000000000000004,-0.0296
-5.044000000000001e-06,0.0056,-0.0296
-5.039999999999999e-06,0.0064,-0.030000000000000002
-5.036000000000004e-06,0.006,-0.0296
-5.032000000000002e-06,0.0064,-0.0296
-5.028e-06,0.006,-0.0292
-5.023999999999998e-06,0.0064,-0.028800000000000003
-5.020000000000003e-06,0.0056,-0.028
-5.016000000000001e-06,0.006,-0.027600000000000003
-5.011999999999999e-06,0.006,-0.027600000000000003
-5.0080000000000036e-06,0.006,-0.027600000000000003
-5.0040000000000016e-06,0.0064,-0.028
-4.9999999999999996e-06,0.0056,-0.027600000000000003
-4.996000000000004e-06,0.006,-0.0268
-4.992000000000002e-06,0.005200000000000001,-0.026000000000000002
-4.988e-06,0.0044,-0.026000000000000002
-4.983999999999998e-06,0.004,-0.0256
-4.980000000000003e-06,0.0048000000000000004,-0.024800000000000003
-4.976000000000001e-06,0.0056,-0.024
-4.971999999999999e-06,0.005200000000000001,-0.024
-4.968000000000004e-06,0.0048000000000000004,-0.024
-4.964000000000002e-06,0.0048000000000000004,-0.0244
-4.96e-06,0.0048000000000000004,-0.024800000000000003
-4.955999999999998e-06,0.0044,-0.024
-4.952000000000003e-06,0.004,-0.0236
-4.948000000000001e-06,0.004,-0.023200000000000002
-4.943999999999999e-06,0.004,-0.023200000000000002
-4.9400000000000035e-06,0.0044,-0.0236
-4.9360000000000015e-06,0.0036000000000000003,-0.023200000000000002
-4.9319999999999995e-06,0.0032,-0.023200000000000002
-4.928000000000004e-06,0.0032,-0.0224
-4.924000000000002e-06,0.0044,-0.0216
-4.92e-06,0.004,-0.0216
-4.915999999999998e-06,0.0044,-0.0212
-4.912000000000003e-06,0.005200000000000001,-0.020800000000000003
-4.908000000000001e-06,0.0056,-0.0216
-4.903999999999999e-06,0.005200000000000001,-0.0212
-4.900000000000004e-06,0.006,-0.020800000000000003
-4.896000000000002e-06,0.0068000000000000005,-0.0204
-4.892e-06,0.007200000000000001,-0.0196
-4.887999999999998e-06,0.006,-0.019200000000000002
-4.884000000000003e-06,0.005200000000000001,-0.0188
-4.880000000000001e-06,0.0056,-0.019200000000000002
-4.875999999999999e-06,0.006,-0.0196
-4.8720000000000035e-06,0.0056,-0.019200000000000002
-4.8680000000000015e-06,0.005200000000000001,-0.019200000000000002
-4.8639999999999995e-06,0.0056,-0.019200000000000002
-4.860000000000004e-06,0.0056,-0.0188
-4.856000000000002e-06,0.0056,-0.0184
-4.852e-06,0.0056,-0.018000000000000002
-4.847999999999998e-06,0.0056,-0.0176
-4.844000000000003e-06,0.0056,-0.0172
-4.840000000000001e-06,0.005200000000000001,-0.016800000000000002
-4.835999999999999e-06,0.0044,-0.0164
-4.832000000000004e-06,0.0044,-0.016
-4.828000000000002e-06,0.0044,-0.0164
-4.824e-06,0.0044,-0.0164
-4.819999999999998e-06,0.0044,-0.016800000000000002
-4.816000000000003e-06,0.005200000000000001,-0.016800000000000002
-4.812000000000001e-06,0.0064,-0.0172
-4.807999999999999e-06,0.007200000000000001,-0.018000000000000002
-4.8040000000000035e-06,0.0068000000000000005,-0.0176
-4.8000000000000015e-06,0.0064,-0.0176
-4.7959999999999995e-06,0.0064,-0.0172
-4.792000000000004e-06,0.007200000000000001,-0.0172
-4.788000000000002e-06,0.006,-0.0164
-4.784e-06,0.005200000000000001,-0.016
-4.779999999999998e-06,0.0048000000000000004,-0.015600000000000001
-4.776000000000003e-06,0.0056,-0.015600000000000001
-4.772000000000001e-06,0.005200000000000001,-0.0164
-4.767999999999999e-06,0.005200000000000001,-0.0164
-4.764000000000004e-06,0.0044,-0.0164
-4.760000000000002e-06,0.005200000000000001,-0.016800000000000002
-4.756e-06,0.0044,-0.016800000000000002
-4.751999999999998e-06,0.0036000000000000003,-0.0164
-4.748000000000003e-06,0.004,-0.016
-4.744000000000001e-06,0.004,-0.015600000000000001
-4.739999999999999e-06,0.004,-0.015600000000000001
-4.7360000000000034e-06,0.004,-0.015600000000000001
-4.7320000000000015e-06,0.0044,-0.0152
-4.7279999999999995e-06,0.0044,-0.015600000000000001
-4.724000000000004e-06,0.0044,-0.0164
-4.720000000000002e-06,0.0048000000000000004,-0.0164
-4.716e-06,0.005200000000000001,-0.0164
-4.711999999999998e-06,0.006,-0.0172
-4.708000000000003e-06,0.0064,-0.0172
-4.704000000000001e-06,0.0056,-0.016800000000000002
-4.699999999999999e-06,0.0048000000000000004,-0.0176
-4.696000000000004e-06,0.0056,-0.0176
-4.692000000000002e-06,0.0056,-0.018000000000000002
-4.688e-06,0.0056,-0.0176
-4.683999999999998e-06,0.005200000000000001,-0.0172
-4.680000000000003e-06,0.0048000000000000004,-0.0172
-4.676000000000001e-06,0.0044,-0.0172
-4.671999999999999e-06,0.0048000000000000004,-0.016800000000000002
-4.668000000000003e-06,0.0048000000000000004,-0.0164
-4.6640000000000014e-06,0.0048000000000000004,-0.016
-4.6599999999999994e-06,0.006,-0.0164
-4.656000000000004e-06,0.0056,-0.016800000000000002
-4.652000000000002e-06,0.006,-0.016800000000000002
-4.648e-06,0.0056,-0.0172
-4.643999999999998e-06,0.0056,-0.018000000000000002
-4.640000000000003e-06,0.005200000000000001,-0.018000000000000002
-4.636000000000001e-06,0.0044,-0.018000000000000002
-4.631999999999999e-06,0.005200000000000001,-0.018000000000000002
-4.628000000000004e-06,0.0064,-0.0184
-4.624000000000002e-06,0.0068000000000000005,-0.0184
-4.62e-06,0.0056,-0.0184
-4.615999999999998e-06,0.0056,-0.0184
-4.612000000000003e-06,0.006,-0.0188
-4.608000000000001e-06,0.0064,-0.0184
-4.603999999999999e-06,0.005200000000000001,-0.018000000000000002
-4.600000000000003e-06,0.0044,-0.0184
-4.596000000000001e-06,0.005200000000000001,-0.0188
-4.591999999999999e-06,0.0056,-0.0184
-4.588000000000004e-06,0.005200000000000001,-0.0188
-4.584000000000002e-06,0.005200000000000001,-0.0196
-4.58e-06,0.0056,-0.02
-4.575999999999998e-06,0.0056,-0.0204
-4.572000000000003e-06,0.0056,-0.0204
-4.568000000000001e-06,0.005200000000000001,-0.020800000000000003
-4.563999999999999e-06,0.006,-0.02
-4.560000000000004e-06,0.0064,-0.02
-4.556000000000002e-06,0.006,-0.0196
-4.552e-06,0.0064,-0.0196
-4.547999999999998e-06,0.0056,-0.02
-4.5440000000000026e-06,0.0064,-0.0204
-4.540000000000001e-06,0.007200000000000001,-0.0212
-4.535999999999999e-06,0.0068000000000000005,-0.0212
-4.532000000000003e-06,0.0056,-0.022000000000000002
-4.528000000000001e-06,0.0056,-0.0216
-4.523999999999999e-06,0.0064,-0.022000000000000002
-4.520000000000004e-06,0.0064,-0.0216
-4.516000000000002e-06,0.005200000000000001,-0.0212
-4.512e-06,0.0056,-0.0204
-4.507999999999998e-06,0.0064,-0.0204
-4.504000000000003e-06,0.0056,-0.02
-4.500000000000001e-06,0.0048000000000000004,-0.0196
-4.495999999999999e-06,0.005200000000000001,-0.0196
-4.492000000000004e-06,0.006,-0.0196
-4.488000000000002e-06,0.006,-0.02
-4.484e-06,0.005200000000000001,-0.02
-4.479999999999998e-06,0.0056,-0.020800000000000003
-4.4760000000000025e-06,0.0056,-0.020800000000000003
-4.4720000000000006e-06,0.0048000000000000004,-0.020800000000000003
-4.4679999999999986e-06,0.005200000000000001,-0.0204
-4.464000000000003e-06,0.0056,-0.020800000000000003
-4.460000000000001e-06,0.006,-0.0212
-4.455999999999999e-06,0.006,-0.0212
-4.452000000000004e-06,0.0056,-0.020800000000000003
